Title,Score,Name,Date,actions,text
" Supercalifragilisticexpialidocious
",10,navneetmaheshwari,14 April 2022,"
                    82 out of 95 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Only this word defines the movie.

Goosebump in every scene of the movie .

The movie was fantastic. Everyone acted very well in the movie. VFX and Graphics in the movie was amazing. Songs and BGM in the movie was superb. Amazing movie.

And i am saying it again Supercalifragilisticexpialidocious."
" K.G.F: Chapter 2 Movie Review: A Thoroughly Satisfying Masssterpiece That Travels At 1000 Bullets Per Minute
",,shefali-59244,14 April 2022,"
                    56 out of 75 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Right through K. G. F: Chapter 2, I couldn't help but imagine what it must have been like for Prashant Neel to watch The Godfather for the first time. More than the whole film, I'd love to ask him someday about the impact its climax left him with as he watched it in what I imagine to be an old theatre, wherever he grew up. Like the iconic theatre scene in Cinema Paradiso, this moment must have been Prashanth's big life-altering moment, his metamorphosis where he not only discovered the magic of movies but also the concept of ""mass"" before it became a thing. Without sounding too dramatic, something must have clicked in him because there's no one here who thinks in intercuts like this man.

Read the full review on Film Companion."
" Rocky Bhai rocked 🔥🔥🔥🔥🔥🔥
",10,rohitram-81705,14 April 2022,"
                    64 out of 80 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Movie is set to break all time indian records. The storyline is unpredictable and goosebumps throughout the movie. Full action on first half and the real story begins at second half .
" ALL TIME BLOCKBUSTER 💯💥🔥
",9,Ketch_Rajath-10656,14 April 2022,"
                    40 out of 52 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","#KGFChapter2 This movie has a hype which i have never seen for any Indian Movie. Chapter 1 had set huge expectations & Chapter 2 exceeds all that Expectations. Yash has nailed it with his performance 👏🔥.

Prashanth neel has again proved that he is an Ace Director 💯💥"
" KGF CHAPTER 2: VIOLENCE AT THE BOX OFFICE
",10,skmenon1993,14 April 2022,"
                    44 out of 58 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","KGF CHAPTER 2 : STORM AT THE BOX OFFICE....

Director Prashant Neel, the captain of the ship & his entire crew deserves a standing ovation for creating a mammoth.

No one should think of watching this on an OTT platform and insult the movie.

Nothing to say much, it was such a theatrical experience which could be experienced once or twice in a year.

Every artist had dropped their signature.

A larger than life show based on a strong emotional foundation.

Hats off to the entire team of KGF."
" The perfect mass masala superstar vehicle!
",8,nidhunmoviebuff,14 April 2022,"
                    36 out of 49 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","OMG. What did I just watch! KGF Chapter 2 is a blistering, adrenaline-pumping, high-stakes sequel to what was an era-defining part 1 that propelled not just Prashant Neel and superstar Yash but also the entire Kannada film industry, into national prominence. The team has clearly made the best use of the higher budget it received after the first film's success, keeping the emotional resonance from the original intact and building elaborate, well written and intelligently shot and edited mass elevation scenes that will keep you clamouring for more till the awe-inspiring climax.

We rejoin our hero, Rocky Bhai as he takes over control of the Kolar Gold Fields after having killed the demonic ""Garuda"" in the first film, only to have an entire can of worms open up as a consequence with everyone ranging from Garuda's vengeful uncle ""Adheera"" (Sanjay Dutt) to the Prime Minister of India ""Ravika"" (Raveena Tandon) training their sights on his lucrative fiefdom. Director Prashant Neel gets his casting choices spot on with both these Bollywood biggies bringing in their A-game as menacing antagonists that hold their own against Yash's sheer swag and star power.

The void left by legendary Kannada actor Anand Nat opting not to return to the franchise due to personal reasons was ably filled by National-award winner Prakash Raj, while the rest of the returning cast play their roles with flourish, especially Ayyappa P Sharma as ""Vanaram"", Harish Rai as ""Khasim"", Achyuth Kumar as ""Guru Pandian"" and Govinda Gowda as the cheeky ""office assistant"". Srinidhi Shetty is nondescript as Rocky Bhai's love interest ""Reena"", with their romance track bordering on an extreme case of Stockholm Syndrome, being the only hiccup in an otherwise flawless mass masala entertainer.

Prashant Neel's ability to smoothly intercut the main timeline with flashbacks to Rocky Bhai's childhood means that the mother character, played ably by Archana Jois, makes an even more emotionally endearing impact on Chapter 2, with the mother-son bond continuing to be the glue that holds together what would otherwise have been a shallow massy outing.

Prashant Neel has made creating innovative mass elevation sequences an art form and with a star of Yash's natural badassery and swagger as his foil, the auteur has clearly cut loose with the sheer scale and scope of his sets rising to earthshattering levels, without sacrificing on ingenuity and the ability to catch the audience by surprise. The intro sequences of our three primary characters, played by Yash, Dutt and Tandon are choreographed with pinpoint precision to evoke maximum mass impact and are custom-made to play to each performer's strengths. While Neel uses Dutt's eyes and hulky silhouette to portray his beastly and brutal nature, with Tandon, he resorts to using minimal hand and facial gestures to showcase the sheer unspoken power wielded by her character, inspired by India's Iron Lady, Indira Gandhi herself.

And what can I say about Yash that hasn't been already said? Irrepressible swag, a natural coyness and obnoxious body language mean he is a natural fit as the morally ambiguous gangster and it is this very nature that adds to the unpredictability of the KGF universe with the audience constantly on the ropes, unable to guess or comprehend what the crazy mafioso will do next. Music director Ravi Basrur carries on the same rich vein as in the first part, elevating each punch sequence with layers of feeling and goosebumps, switching over effortlessly from the massy highs of ""Sulthana"" to the emotionally wrought ""Thannane"".

""KGF Chapter 2"" stands head and shoulders over other recent Indian blockbuster fan service mass vehicles like ""Pushpa (2021)"" and ""RRR (2022)"" because of the editing and staging prowess of its director, with seemingly unrelenting action and a narrative that constantly keeps you guessing and on a knife-edge. A mandatory theatre watch! Highly, highly recommended! And don't forget to catch the post-credits scene!"
" Dimaag shut ho gaya !
",10,nnk-39990,15 April 2022,"
                    31 out of 42 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Teaser & Trailer was nothing ! This movie is a pure master piece .. yash , baaba nailed it !!! My respect to Prashant for directing it in such next level way ... can't wait for chapter 3 !!!!"
" Brand KGF
",10,holla-60054,14 April 2022,"
                    26 out of 34 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Violence violence violence .. Glorifying the violence is Not easy subject to deal with .. But prashanth neel succeeded it with ease. His elevations are none to nodbody in Indian film directors ... Have been watching his work since Ugram , KGF1 and now KGF2 .... You have got that art in making commercial movies , keep continuing and exploring it more and more ... Movie keeps you high throughout and you would feel movie got ended with blink of an eye ... You would want to watch it few more times so that you feel high for the day ... Sachin gowda , Ravi Basrur and 2 golds in our KFI and they proved it big time with KGF2."
" ROCKING STAR YASH ROCKS AGAIN!!!!!!!
",10,kranthireddyg,14 April 2022,"
                    21 out of 28 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Flamboyant style and mesmerizing writing, outstanding costumes of yash which made audience spellbound with his character in chapter 1 are on a whole new level in this one.

He got a antagonist who is on his level.

Adheera played by Sanjay Dutt is just majestic.

Raveena Tandon as Ramika Sen is too good.

Entire cast lived upto the role and more.

Yash penned down most of his dialogues which are on a whole new level.

Writing of the movie, DOP, Costumes, and most importantly Background Score puts this piece of the movie in the list of masterpieces india produced.

Mother sentiment worked well in this one too except not as frequent as chapter 1.

This movie has all traits of chapter 1 only difference is that they are enhanced, amplified and worked even better.

Action sequences are very wisely choreographed.

Overall this is definitely one to watch in theatres."
" This is the real......Beast...
",10,karthickn-26735,14 April 2022,"
                    55 out of 68 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","One of the best powerpack flim in Indian Cinema... Action sequence are best...The roll of Adeera,Remika sen...Please everybody go and watch the flim in theatre.... Enjoy the experience of the Gangster of Monster.."
