Title,Score,Name,Date,actions,text
" Perfect mass Masala movie.
",9,rahulwadhwani-52617,17 April 2022,"
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Finished #KGF2 it's Marvelous. What a mind blowing performance by Yash. Without a doubt his performance in emotional scenes, Romantic scens and fighting scens are worth watch .I saw many incredible performance throughout the movie. Narration by Prakash Raj, performance of #RaveenTandon as Politician is superb. But #SanjayDatt as Adheera without a doubt he was terrific. His head to head fight scenes with Yash were terrrfic. Shrinidhi setty with Yash looks very good pair to watch out for. Her performance was good. BGM and action scenes were good. I love all the fighting scenes and Gun shot scenes. But movie was little bit drawn in 1st half. Aside from this it's proper bonanza."
" KGF 1 is far better than 2
",1,prehkshithpurshi,15 April 2022,"
                    13 out of 34 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Hero Doesn't do much actions . Most of the action sequences done by their fellow mans .

Adheera character has a less screen presence.

Included politics in this , that somewhat feels bit boar Yash Boss acting is 🔥"
" Kuch bhi? ..kyu ? in logo ke rating pr beleive mt kro
",2,damodarmishradm,15 April 2022,"
                    9 out of 23 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Kuch bhi? ..kyu ?

Larger then life character...dream character..means kuch bhi?

Why he died....no specific reason also copied instances from narcos (Pablo Escobar) life."
" A Perfect Commercial Entertainer!
",9,sunilsihag-50563,15 April 2022,"
                    4 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","KGF is what we Indians call a perfect ""maas"" movie: jaw-dropping action, amazing cinematography, and terrific screenplay!

All revolving around the protagonist who is nothing sort of a monster!

Sure some might call the action ""logic-defying, "" but its done with such powerful narrative that you don't care about logic. All your focus is on rooting for the protagonist.

And that requires a powerful script, something KGF has."
" I recommend all to see. Why only I should suffer
",1,drprakashkp,17 April 2022,"
                    9 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Watched KGF2 Movie:

*Our friends successfully tolerated the uninterrupted relentless torture together for about 180 minutes (3 hours) and came out without being wounded although our ears were deaf and bodies were in vibration mode*

* @moviesndtv Review:*

KGF2 just like KGF1 is a test for all your senses.


None of us understood the story and direction if there was any



Our *ears* were bombarded with extreme gunshot sounds and screams, even we could hear the sounds in the washroom during the intermission



A continuous flow of sweat, blood, and tears from *eyes and skin* throughout ended up dehydrated



The effect of battle were so intense that we could feel our *body* with IMAX seats were shaking. Do not know may be because of the bad quality of IMAX seats



*100% Sickularism* incorporated movie. Continuously reminded of ""Rahim Chacha Syndrome""



Justified that Rocky (Sultan) and enemy gangs were more violent than Mughals hence, our historians chose to write *Aurangzeb a hero*



Being studied in Kolar and KGF area I am scared to go there now because of *Adheera*



Successfully overtook *RRR and Pushpa* and became No.1 in showing violence. Wait somebody said *Kashmir files* was violent which is only 10% compared to these



Urduwood has invaded Tollywood and Kollywood by taking liberal actors from D gang and translating south movies in Hindi



The blockbuster led South actors and industry rich and famous but lost value



Ohh I remember there was one intimate love song and love story which gave smoothening effect for 3 minutes for all the sense organs



Proved the theory that politicians, filmies, @BJP/Malvika Avinash sell their ideology. Rocky also says that becz of this British's ruled us for 200+ years without mentioning the 800+ years g@nucide



I am visualizing the kind of movies that will be released in future looking at these films garnered 800-100 CR. Of course also from the inspiration of secular live RIOTS in India after a during a H!ndu festival yatra



I recommend all to see. Why only I should suffer."
" Worst movie seen in 2022 until now
",4,shriramdhawale,16 April 2022,"
                    8 out of 21 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Watching first part was a great experience and so had better expectations from this one.

And waited for this for more than 3 years. It wasn't worth watching.

Its quite overrated movie like many other south indian action drama films where everything is hero and he can do everything.

I ain't saying that every south indian movie is like this. But we can see action and drama at particular limit. But in this movie they've made everything exaggerating. No story. Everyone is over acting. Sanjay dutt has done little good at least not overacting. There isn't single song which we remember after coming out of theatre. Overuse of camera angles.... Blah blah blah..."
" Never seen movie like this
",1,kaverappakarthick,15 April 2022,"
                    12 out of 27 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Had a big expectation from KGF 2, never felt this much poor story it would be, much more hype only.

Story of the movie is very bad & unable to understand."
" Disappointed
",1,priyeshr-12566,14 April 2022,"
                    15 out of 42 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Shocking awful compared to the masterpiece the first KGF was. There were too many scenes copied from Hollywood movie examples Mad Max, fast and furious with vikings. No doubt people who haven't watched Hollywood movies will go watch it few times. I was eagerly waiting for this and how disappointed I was."
" Walked out of a theater after many years
",1,dakshjay,16 April 2022,"
                    9 out of 18 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",This has to be the worst film I have ever seen. Just absolute nonsense drivel without any proper story. It's fanboyism at its absolute pinnacle. Had to go home and sleep for an hour to get rid of the headache that the movie induced in under 40 minutes of watching it.
" Full Entertainer
",10,mypreetpap,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","I wish I could give stars more than 10. Yash as always rocking as Rocky and Sanjay Dutt played his role to the fullest as Adheera. The movie is a must watch for all the kgf fans, you will not get disappointed."
" KGF 2 (and KGF-1 too) will forever be known as emotions
",10,Grey_rainbow,16 April 2022,"
                    3 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","I am writing this after my second viewing and have to say I loved KGF-2 more the second time. And I already have an urge to watch it one more time very soon. The feeling you get after watching this movie cannot be evoked just by the story, script, bgm, epic scale, spectacle, gorgeous cinematography, humor, actors, or emotional scenes. They all are necessary, but more importantly they also have to blend well. KGF-2 blends them all so well that it lingers around for a long time with you. The impact is so deep that you can't watch any other movie for a few days. And that's what compels you to watch KGF-2 again and again, until you overdo it.

That's my review, that's my way of saying that KGF-2 is not a movie, but an emotion, just like KGF-1.

Some may not connect to KGFs at emotional level. I feel bad for them because then KGFs would look to them like a string of flashy/humorous/emotional scenes in an epic backdrop involving a complex war for the throne and gold. They would find it to be a good movie (based on technical aspects, story, and other parameters), but not a great movie and definitely can't understand those of us who call it an emotion."
" Worst movie ever..
",1,rohitkhandagale-53470,15 April 2022,"
                    10 out of 18 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","There is no storyline in this movie.. very fast pased movie.

Only action, fighting and very loud bgm.. The kgf 1 was good but this is totally worst movie.. Please dont waste your time and money on this movie.."
" Not even close to PART 1: Disappointed
",4,ToxicLuci,15 April 2022,"
                    6 out of 15 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Its 3hrs of SWAG,showoff and typical over the top dialogues.

The action scenes are below average The VFX is below average Cast and acting is descent Storyline - Totally bogus Cinematography - very bad After the first half i was like wtf am i watching and then all i waited was the movie to end.

Skip this one and let Rocky's image from part 1 stay with u."
" 1000000000000000000......./10
",10,ravirahul-39574,15 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","There's immense hype for the movie. Some might get disappointed and some might be overwhelmingly happy. Personally, I loved the movie a lot.

There's not much scope for the story, much like the Chapter 1. But the movie does the justice to the action sequences, buildup to the heroes, villains and other characters.

Yash as Rocky bhai nailed it yet again. Other characters were superb too. Sanjay Dutt, Raveena Tandon, Sreenidhi Shetty, Achyuth Kumar, Prakash Raj and every other character were very good.

However, there are two slightly underwhelming aspects. While the background music was very good, the songs weren't upto the expectations. While the hero faces a lot of challenges, it also becomes pretty obvious through the motion of the movie that the hero would be nearly unbeatable. The movie still surprises the audience with its unexpected twists.

Overall, it's a very good movie. My suggestion would be not to have any expectations. It's indeed above expectations due to the scale and action.

And, one shouldn't definitely miss the post-credits scene."
" Near hit !!
",7,shashankds-89360,16 April 2022,"
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Credit to Prashanth Neel and Vijay Kirgandur for dreaming so big and executing such a massive dream; nearly every frame has multiple characters who never looked crowded or forced in ;

It's a very difficult movie to make and they have made it well.

The cinematography is top notch ; this man will go places

Yash lights up the screen ; his dialogues feel out of place every now and then-it dilutes the intensity especially his Intro scene :( but his swag and style make up for whatever rubbish lines he says sometimes)

Srinidhi Shetty deserved much meatier role for her commitment to the movie

Sanjay Dutt screams a bit more than necessary

Raveena Tandon is a find and she nails it

Greatest loss in the movie- Anant nag is sorely missed - whatever reason may be, Prakash Rai's substitution does not do justice to the movie: ANANT Ingalagi's narration lifted the movie; you can't help but imagine Anant nag in place of Prakash Rai every time he narrates and end up feeling disappointed .

Malavika gets monotonous and repetitive after sometime .

Towards the end I stopped rooting for the mother- I felt she was eventually responsible for her son becoming a criminal - to become rich at every expense

Having said so many negatives, still I vouch for the entire team's commitment to Make such a brave attempt; you need a large heart to do such a movie- I saw and felt similar efforts in Avane Srimannarayana and am glad this movie is doing well - Happy days for kannada cinema

Please watch the movie inspite of all its flaws ( I am nit picking like a purist ); I enjoyed it but could not find a character I wanted to root for like KGF chapter 1."
" Reason to watch KGF 2
",10,mrhosmath,14 April 2022,"
                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","You will like this movie only when you like sound, Music, Visuals, Story, Mass, Entertainment and etc

This is a Creator's movie, every second gives you goosebumps. Makes you go crazy

This ain't just makes you feel like it's top level mass Indian cinema but also makes you feel like it has got international Visuals that you have never seen before.

If you don't watch the film then you are missing the best created film

Must watch if you are a cinema lover 🔥"
" Proud to be indian
",10,patnampradyumna,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Absolutely amazing,mind bending, marvelous, masterpiece film F your whatever tensions or work u r going through just watch this film Once in a life time experience."
" Masterpiece💥
",10,sourabhmondal-42627,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",One word for this movie truly masterpiece.....satisfying and more. Ye movie beyond the expectation hai jo bhi is movie ko theatre me nahi dekhega o bohot kuch miss..ye movie ka ak ak dialogue bullet ki tarah kam karta hai..or bgm...aisa bgm India ke koi vi flim mai nahi hai...and don't miss the post credit scene.
" MASTERPIECE
",10,singhharjot-99743,14 April 2022,"
                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","This movie is superior to all movies ever made in India. I just love it. As u know we can't describe love in words, It's just a feeling which makes it memorable and for me KGF 2 is that movie with that feelings."
" Essence of Indian cinema
",9,shivam-39497,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","This movie captures the essence of Indian Cinema plus more. The cinematography and character design is really mind blowing with an amazing background music. It is a movie that had finally breaked the previous limits of Indian Cinema. I cut down one star because i feel that music is overused(which isn't necessary bad because its bgm is good), but at few scenes the cuts could have been longer (Although better than previous movie). But The movie really delivers to its hype!!!"
" EPIC
",10,varunganiga,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","One work for this movie is epic , Never seen before suck kind of Movies in Indian cinema history

Kudos to kgf team. And thanks for making whole Karnataka feel so proud."
" History Of Indian Cinema
",10,mrcoolsams,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","#KGF #KGF #KGF I don't Like It I avoid it But #KGF Likes Me I can't Avoid It Fast Facing, Stunning Action, Thriller Ever made Cinema In Indian History #KGF2 Team I don't have words to say."
" Only for the fans.
",4,rohansingh-96364,15 April 2022,"
                    5 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",There is reason why rotten tomatoes doesn't score these movies. Light in sense high in action and drama. And overall a big hype.. nonsensical.. 4/10 ... Not for people who like tight story with real characters.
" outstanding movie
",10,ilmalareef,14 April 2022,"
                    3 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Omggggg what a movie yar.. inch and every seen was a blast. Excellent acting by yash. This movie bring the next level for Indian cinema. Hats off to the director as well.
" Bigger than what expected
",10,ashishtawade-05844,14 April 2022,"
                    5 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",It's the best work of cinematography i have ever witnessed. I advive you to watch movie in theaters to experience the best piece of art. Feeling proud of this movie.
" Why glorify Guns?
",1,rishumcr,14 April 2022,"
                    19 out of 46 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","This movie all about bullets and bloodshed.

No scope for acting , screenplay is erratic, sentiment seems forced. Have to admit few dialogues worked.

They did make joke of all the laws of Physics. May give goosebumps to masses but all that bloodshed is total turnoff for me."
" Just one word masterpiece
",10,vicks-42907,14 April 2022,"
                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Believe me after a long time a good movie come and you will enjoy every scene of this movie . Background music is awesome . Yash, sanjay datt, raveena tandon acting is perfect. You fill goosebumps during interval and climax."
" Best Masala
",10,majeetitu,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Excellent mixture of Action & Drama of any Indian Movie in the 3rd decade of 21th century after a gap of between the 2and & 3rd decade in film industry due to Covid 19.
" Worst Movie
",1,itisfriendsnfamily,17 April 2022,"
                    6 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Such a waste of time. It's the most nonsense movie I have ever watched. KRK's review is absolutely right. Too much Slo-Mo scenes But Sanjay Dutt looks awesome.
" War on your senses
",1,HollyGolightly123,16 April 2022,"
                    6 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Watching this in a theater is pure torture to your ears. This could be great but the overdramatized scenes by the actors make it worse. 2nd half was sloppy making the climax utterly wasted. The sheer loudness of the movie (in literal sense) gave me a headache.

Wish I got my time and money back."
" Came out with a headache
",1,jasonhans2012,18 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","I don't get the higher reviews at all. Is it the star power associated with it or the success of the first film?

Too dark, too loud and hardly makes any sense.

They haven't paid the editor I believe and work done looks as if it was done for free.

Choppy action scenes. I can't think of a single thing that I liked about it.

I'd describe this as 'messy' in one word.

They are planning to bring the 3rd part of this abomination and make it a trilogy."
" A rocking movie after a long time
",8,anirudhaacharyap,14 April 2022,"
                    3 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","The movie is damn good. The clarity and sound is amazing. The direction is Great. And the acting as u all know Yash sir is damn good. It Is good one. All should watch it. It is a composition of all. It has action, comedy, romance all kind of things."
" HISTORY CREATED 💥
",10,syamnandhu,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","HIS LEGACY WILL CONQUER THE WORLD AND CHAPTER-3 WILL. ASSIST. UNTOLD STORY OF A VENGEANCEFULL BOY.

Jdjrjrh how how it hajj it how happy just your kids Ko up yummy yummy you yummy yummy to yummy."
" Blockbuster Hit
",10,shripadachegave,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","The mass Entertainment Film festival Yash boss .I hope Film cross 1000cr in worldwide Box office.

💯

.. ...

... Yash Performance is very positive side of Film And whole movie One side."
" Hard hao
",10,gamingsudipta,14 April 2022,"
                    4 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","KGF is KANNADA's GOLD FILM KGF part 2- Boisterous, loud and machismo type effect, taking Kannada movie to great heights.

Almost realistic barring few errors, the strong story line is displayed with bullet train speed, tight screenplay and stunning dialogues.

Key characters have been given equal weight and power- that's the best part.

Raveena shines as a tigress and pounds heavily. Sanjay Dutt plays his role well.

Yash steals the show with his charisma and he is the REAL GOLD. His confidence and dialogue delivery is clap worthy.

KGF is KANNADA's GOLD FILM.

6 out of 6 found this helpfu."
" Thoroughly enjoyed it
",10,sabir_alpha10,14 April 2022,"
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Yash carried the movie very well. Seems like he and the director went hand in hand with this one. They both understood the vision this movie has. Sanjay and Raveena were amazing. As a matter of fact every character did their role well.
" Masterpiece!!!
",10,shawnabbarow,15 April 2022,"
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Loved how it works out, I didn't have any expectations for the film. But, you're definitely going to expect the unexpected. There is not only action also has Mother's connection. You should watch the movie, no lags in any scene. This is something big than it's chapter - 1."
" it's average movie
",6,arjun-09471,15 April 2022,"
                    3 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Nothing special, one time watch movie, background music is so bad and loud, ravina tandon work excellence, yash look good and sanjay dutt also a strong villain but storyline was very poor."
" Not bad
",7,booshanpathy,16 April 2022,"
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","This movie was not bad at all. I took 3 points off because of the lagging in some places .

But story wise and everything is pretty on point.

Also all fighting scenes were very well Also the screenplay was very good."
" Rocky Bhai it's not just a name it's a brand
",10,deysubhadip-68374,14 April 2022,"
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",One of the best movie kgf chapter2. Every scene scene goosebumps and Yash entry scene outstanding. This movie action scene hollywood level rocky and adherea face off scene mind blowing. And ravena tandon performance superb violence violence violence. I don't like it. I avoid. But violence likes me I can't avoid🔥 totally paisa vassol movie.
" Water cannot create fire. Unless it's your mother's tear
",10,vithus-45225,18 April 2022,"
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","An egoistic hero, who wanted to give everything to his mother. Defending his region.

Goosebumps, Goosebumps, Goosebumps movie is made out of it. Melt it and worn as movie carrier. Even with the small flaws, big screen presence of everyone hide it.

It should be celebrated or we can say as must be celebrated. A Pan Indian Movie for South Indian Cinema."
" Complete madness GOOSEBUMPS throughout the movie💥
",10,harishk-28874,14 April 2022,"
                    8 out of 11 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Craziest movie ever created can't explain in words just watch and witness the jabardast action. Such a mass direction by Prashant Neel and Yash just nailed his role.
" Overhyped for no reason
",4,advravituteja,17 April 2022,"
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","The movie is just like a person without backbone, it has good action and filmography but story and direction which is most important for movie is worst. The movie is full of plotholes and many points in story just don't connect. Unlike other good gangster movies where everything done as a plan by gangster is explained, in kgf, rocky is just making things happen without things being explained to viewers. Story is so predictable, in almost quarter of movie, you will know what will happen in end. Kgf 1 was good but this one is just pouring money is filmography and savageness while neglecting most important part of a movie, the story. Dialogues are cringe most of time, except for rocky and adheera, other characters are too shallow and the goal of not a single character seemed defined."
" Bestest
",10,payelsona-41849,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Indian cinema....best acting of everyone...... Best movie ever....... Dont do piracy pls.... Just go to the theatre and watch it.... Best best .. kannada industry ne fad diya yr ... Sabse acchi cinema. Emotion, action, love , mothers love all is perfect."
" Overacting, noisy, over stylish, no meaningful content
",2,pritishgoel,17 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","The movie is just a collection of overstylized VFX effects without any storyline or meaningful plot.

The different situations are not coherent and to cover for lack of stroy and plot, a lot of background sound effects and camera VFX effects have been used."
" All time Blockbuster
",10,sbibek-66333,14 April 2022,"
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Just More then Awesome It is one of the best movies for indian cinemas.

It has grate actions and emotions.

A perfectly directed Movie.

It is a gold for indian cinemas. Hope Bollywood Learn Something From South Movies. ********** 10 out of 10."
" Powerful people makes place powerful
",10,abdurrazzakrifat,14 April 2022,"
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","#KGFChapter2 is a well-balanced movie with Drama, Action, Twists & Emotions that captivate the audience with awe scenes throughout!

The show's one man with star #YASH brilliant performance, bringing a powerful nature to the character."
" 9.8! Fab! Awesome! Amazing! Mind-blowing! And more whichever is possible!
",9,auditlalchandani,14 April 2022,"
                    4 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","I just got out of the hall and I'm total speechless. I'm just amazed by the direction and story and dialogues of this movie! Earlier i was a huge fan of KGF chapter 1 but now that movie is just another prequel to me that led to a killing sequel! Hats off to the directors, actors, and music composers. A dedicated shout-out to the story writing team 🔥

You rock guys! Salaam Rocky Bhai!"
" Director ne hug dia
",1,kunalanand-00860,17 April 2022,"
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Plot acha dia har bar dono movie mai.. Phele vale mai execute krdia.. Second vale mai kya hi chal rha tha inko hi pata hai...direction was bad.. Sanjay dutt and rocky fighting was bad.. Just shaking camera.. Should have worked on it.. Villan should have more screen time... Everything was top notch but they failed to execute it..
" Above average
",7,musicmg-15872,14 April 2022,"
                    4 out of 15 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","It's a good movie better than previous chapter in terms of cinematography & production . But story & screenplay of chapter 1 is clear winner. All over nice package of Action & Emtion.

Cinematography, Editing, Color Grading are top notch.

Background score is phenomenal.

Experience this movie in theatre only cuz you are going to regret later.

If we compare it to RRR ; RRR is better than this one."
" One of the best movie
",10,bharatjadeja-72799,14 April 2022,"
                    4 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","ROCKING STAR YASH NAILED IT.

Music & almost every scene is superb.

Everyone's acting is awesome & style of rocky is the eye capture in every scene.

From starting of the movie not a single scene you will miss."
" Good movie but got headache because of loud background music
",8,jjendsouza,16 April 2022,"
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Everything is good about the movie but the only disappointment is the loud background music. The sound is intolerable and my suggestion is to take some cotton along to cover your ears.
" GREAT EXPERIENCE
",9,murlimohanrao,16 April 2022,"
                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Hailing from Bangalore, I always wondered why Kannada movies with a rich heritage never struck gold at the Indian box office. It was far more subdued than other South Indian film industries. KGF 1 and now KGF 2 have changed all that. It is therefore a matter of immense pride for me personally to see Kannada movies doing so well.

I watched the movie at the global premiere in UAE ... the 1150pm show, even though the next day was a working day. But, not once did I regret going to a movie at such an inappropriate time. The movie was all I expected and much more. It had a great storyline that remained true to the central theme of Rocky having a motive. Every action emanates from that and which is exactly why you constantly empathize with his character, even though his villainy was obnoxious at times. That is the strength of the writing, as you viewed the character just like the way the director aspired. This for me was the biggest strength of the movie.

The movie continues from where KGF1 left. All the aspirers to throne of Narachi are stunned into silence when Rocky replaces Garuda at the helm of affairs. So, to get him down, they connect with Adhira, the uncle of Garuda. The fight then is between Adhira and Rocky. You see many points where it looks like Rocky is going down to Adhira but he always has a plan up his sleeve. The culmination of that fight forms the crux of the movie.

Prashant Neel has done an amazing job with his writing and direction. Every frame looks like a masterpiece and the dark muted tones makes the movie a visual delight. Some of the frames are simply out of this world. The casting is picture perfect including Adhira, Ramika and others. It seems they selected themselves for this role. I would recommend this movie to every cinema lover.

The climax is a killer and after the Kattappa Bahubali saga, this is indeed a break point to cherish. I hope the makers of KGF have a plan up their sleeve."
" Little disappointed
",6,ashishmishra-65577,14 April 2022,"
                    4 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","I think I am the big fan of kgf chapter 1.

I've watched over 10 times I am very excited for the chapter 2 but Disappointingly speaking, I didn't like this movie that much. 😔😔"
" 6.5
",,shreyanshupanda,16 April 2022,"
                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",This movie is edited better than its predecessor. The action set pieces are explosive in a way we rarely seen in indian cinema. Cinematography is beautiful. However none of that can overcome the fact that i had no emotional connection with the hero and his motivation. But i already expected that because of chapter 1 so it didn't bother me as much.
" Awesome movie by Yash
",10,MovieBond,14 April 2022,"
                    2 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Super action and dialogue by Yash .. except Prakash Raj everything is super in movie. Love the plot and top story line keep you on edge. Nice suspense and need more Kannada actors. Like Yash style.
" Mass=KGF🔥🔥🔥
",10,adhityanvembanat,14 April 2022,"
                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","The film from the beginning to the end is a phenomenal, masterpiece item from the south industry.from it's editing, direction,art work,and every other department is exceptional. Can you believe that this film has just a budget of 100cr which compared to other film from this country is very low. But each a every penny that is spent on this movie is worth. Go spend your money on this cenima you will surely like it .................🔥"
" Super Duper Blockbuster 🔥🔥👌👌
",10,srejaulhoque,14 April 2022,"
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","#KGF2 GARGANTUAN BLOCKBUSTER

Backed by solid emotions #KGFChapter2 goes all guns blazing with SPLENDID elevation scenes - world class visuals - wicked action scenes & act of a lifetime by #Yash.

#PrashanthNeel excels himself- Made one of the best sequel ever."
" Climax was not impressed
",8,gowthamms,16 April 2022,"
                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Songs and background music's are not better compared to part-1.better they have used part 1 music.climax was not impressed.this was an kannada movie Sanjay dutt and Raveena tandon talking in hindi language and it is dubbed in kannada I don't liked it.
" Full entertainment
",10,itsnehash,14 April 2022,"
                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",KGF chapter 2 is all about entertainment. All the actors are at their best but YASH is best of the best. Loved the theme the story and the picturisation everything is perfect here 👌👌👌
" Prashanth Neel couldn't handle the pressure of the hype
",6,theprabhakarsharma,14 April 2022,"
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",HIGHLY DISAPPOINTED. Rocket paced first half followed by a very predictable second half. Unnecessary fight sequences have just increased the run-time of the film. STRICTLY A ONE-TIME WATCH.
" No logic ,rip physics , not worth it
",1,jehijiv,14 April 2022,"
                    15 out of 37 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","So its been watching the movie and it is like too bore to see the dark scene , and mostly rip to physics no logic in fight , story not as 1st part , no edging movie ,just hype for 1 chapter , not worth , only for fans."
